pregunta,respuesta,keywords
Cuáles tiendas disponibles tienes?,"Las tiendas disponibles dependen de tu ubicación. Al registrarte, la app te sugerirá la tienda más cercana (a menos de 20 km) según tu perfil y la demanda en tu zona.",cuáles tiendas disponibles tienes
Cuando me tengo que presentar a tienda?,"Debes presentarte en la tienda el día y en la franja de tiempo que reservaste en la app. Al llegar, haz check-in y, al finalizar tu espacio, recuerda hacer check-out.",presentar tienda
Cuando puedo comenzar?,"Puedes comenzar cuando completes tu registro en la app, subas tus documentos y realices tu capacitación presencial (se agenda en el apartado de Reservas).

Para tu primer día, ven con ropa oscura (ideal negro, sin estampados) y calzado cerrado. Además, trae tu cooler; si aún no tienes, te prestaremos uno los primeros días mientras consigues el tuyo.",comenzar
Cuanto dura la capacitación?,"La capacitación presencial se toma solo una vez y dura aprox. 3 horas. Debes reservar tu espacio en la app, en el apartado “Reservas”, y presentarte el día y en la franja que elegiste. Al llegar, haz check-in en la app y dirígete al coordinador (la noche anterior recibirás su contacto). Durante la capacitación, realiza al menos una tarea desde tu app Zubale y, antes de retirarte, haz el check-out. Luego podrás volver a Reservas para agendar tus próximos espacios.
👉 https://youtu.be/OEnCFsdeJ-I",cuanto dura capacitación
Cuántas tareas asignan al día?,"El número de tareas asignadas al día depende del rol y la tienda en la que te actives. Durante el turno que reservaste, podrás tomar todas las tareas disponibles que alcances a completar.",cuántas tareas asignan
"De que se trata el trabajo, la vacante o las tareas?","En Zubale puedes generar ingresos de forma flexible:

- Shopper: armas y entregas pedidos de supermercado con tu auto desde la tienda al domicilio.
- Picker: recolectas los productos en tienda y los llevas a la zona de cajas para que otro realice la entrega.
- Driver: realizas entregas desde la tienda al domicilio con tu auto.

Elige el rol que más te convenga y empieza a generar ganancias.",trata trabajo vacante tareas
De qué tienes vacante?,"En Zubale puedes realizar distintas tareas:

- Shopper: armas y entregas pedidos con tu auto, conectando a los clientes con sus compras en línea.
- Picker: recolectas productos dentro de la tienda y los llevas a cajas para que otra persona realice la entrega.
- Driver: entregas los pedidos directamente al domicilio de los clientes usando tu auto.

Escoge la opción que mejor se adapte a ti y comienza a generar ingresos de inmediato.",tienes vacante
Debo realizar otro registro?,"Si ya te registraste en la app de Zubale, no necesitas hacer un nuevo registro. Si estás teniendo algún inconveniente, cuéntanos qué problema estás viendo (por ejemplo: no puedes ingresar, no te deja avanzar, error al subir documentos o no te aparecen Reservas) y te ayudamos a derivarte con un agente.",realizar registro
Descargo la aplicación y ahí continuo con el proceso o que debo de hacer?,"Sí, exacto 😊. Descarga la app y continúa el proceso desde ahí.

Antes de empezar, ten a mano:
Documento de identidad vigente
Código postal (lo puedes buscar en Google Maps con tu dirección)
Si tienes vehículo: SOAP, licencia y permiso de circulación (vigentes)

Luego, en la app:
Crea tu cuenta y valida tu correo.
Completa tus datos y, si corresponde, registra tu vehículo y sube tus documentos.
Al finalizar, entra a Reservas y agenda 1 espacio para tu capacitación presencial.",descargo aplicación continuo proceso
Desde un iPhone no se puede?,"Puedes registrarte en Zubale desde iPhone sin problema. Sin embargo, para realizar tareas en tienda y generar ganancias, necesitarás un Android, ya que las aplicaciones complementarias de los clientes solo están disponibles para Android.",iphone
Dice q estoy fuera de rango tengo q estar fuera de la tienda?,"El mensaje “fuera de rango” indica que en este momento te encuentras a más de 20 km de una tienda disponible para realizar tareas. Para poder activarte, debes estar dentro del radio de cobertura de alguna tienda y tener la ubicación activada en tu celular.

Te recomendamos:
- Acercarte a una tienda del proyecto donde te activaste.
- Verificar que la geolocalización esté habilitada y permitida para la app de Zubale.

Una vez dentro del rango y con la ubicación activa, la app podrá mostrarte disponibilidad para comenzar.",dice estoy fuera rango fuera tienda
Disculpa estoy en tienda y me comentaron algo de un grupo pero todavía no me meten eso no depende de que me lleguen tareas ?,"No te preocupes 😊. Los grupos se usan solo para comunicación interna y no influyen en la asignación de tareas; seguramente te agregarán pronto.
Para comenzar, dirígete a la mesa de los coordinadores de Zubale en tienda y avísales que ya estás disponible; ellos te asignarán tu primera tarea y te guiarán en el proceso.",estoy tienda comentaron grupo todavía meten depende lleguen
"Disculpa si fui a la Tienda, pero no me aceptaron?","Lamentamos lo ocurrido. Si ya recibiste el contacto del coordinador de Zubale en sala, comunícate directamente con él para revisar qué pasó y definir los siguientes pasos. Si no recibiste ese contacto o necesitas apoyo adicional, pídeme que te transfiera con un agente humano para ayudarte a revisar tu caso y reagendar lo necesario.",fui tienda aceptaron
Disculpe que es shopper?,"Un shopper es la persona que realiza tareas de armado de pedidos de compras en línea dentro del supermercado y luego los entrega en el domicilio del cliente, generando ganancias por cada tarea realizada.",shopper
Donde espero a que me caigan adentro de tienda o en el auto ?,"Para que te asignen tareas, debes esperar dentro de la tienda. Dirígete a la mesa de los coordinadores de Zubale o al área indicada para Zubale y avísales que ya estás disponible. Desde ahí te asignarán las tareas y te indicarán los siguientes pasos.",espero caigan adentro tienda auto
"El día de mañana , después de ir a tienda a la capacitación, me quedaría a activarte ?","Claro 🙂
Una vez que finalices tu capacitación, si gustas puedes permanecer en tienda realizando más tareas y seguir generando ganancias ese mismo día. No es obligatorio quedarte; tú decides.

Para ir preparado:
Lleva ropa cómoda (ideal negro, sin estampados) y calzado cerrado.
Si eres Shopper o Driver, lleva tu vehículo y tus documentos al día.
Al llegar, marca check-in en la app y, al finalizar tu espacio, check-out.",mañana tienda capacitación quedaría activarte
El día de mañana hay que presentarse con la ropa como lo dice la aplicación pantalón negro y camisa negra y zapato negro?,"Sí, idealmente preséntate con ropa negra o muy oscura, sin estampados ni roturas: pantalón largo (jeans o de tela) y calzado cerrado.",mañana presentarse ropa dice aplicación pantalón negro camisa
El día de mi capacitación me presento en alguna área en especial?,"Sí. El día y franja de tu reserva, dirígete al mesón de coordinadores de Zubale. La noche anterior recibirás el contacto del coordinador por si necesitas apoyo al llegar.",capacitación presento área especial
"Me dijeron que me van a capacitar otra vez, está bien?","Depende del cliente/marca. Si es la misma marca, normalmente no necesitas repetirla. Si cambiaste de marca (ej. de Jumbo a Walmart), puede requerirse una nueva capacitación. Si tienes dudas, consúltalo con Soporte o con el coordinador en tienda.",dijeron van capacitar vez está
En las tiendas cercanas a mi domicilio o hay tiendas disponibles?,"Las tiendas disponibles se muestran durante tu proceso de registro y dependen de tu ubicación y de la demanda en la zona. Si no te aparecen opciones, puede ser porque estás fuera del radio de cobertura o porque la app no tiene acceso a tu ubicación. Revisa que la ubicación esté activada y con permisos habilitados para Zubale; si aun así no aparecen, pídeme que te transfiera con un agente para que te brinde apoyo.",tiendas cercanas domicilio tiendas disponibles
En donde queda la tienda?,"Puedes revisar la ubicación exacta de cada tienda en el mapa disponible en nuestra web 👉  https://www.zubalero.com/cl/

Ahí encontrarás todas las salas con sus direcciones.
Recuerda que la tienda donde asistes a tu capacitación es la que seleccionaste durante tu registro o al reservar tu espacio en la app.

Y una vez que termines tu capacitación, puedes volver al apartado Reservas para agendar tus próximos espacios en la misma sala o en otras salas, siempre dentro del mismo cliente y proyecto.",queda tienda
En dónde hay oportunidad de activarme?,"Las oportunidades de activación se muestran directamente en la app. Al registrarte y completar tus datos, la app te sugerirá la tienda con mayor necesidad según tu perfil y tu ubicación. Si quieres ver más opciones, puedes usar *Elegir otra opción* para revisar otras tiendas disponibles. Todo el proceso se gestiona desde la app.",oportunidad activarme
En las aplicaciones externas el usuario cuál es y la contraseña? O ese lo dan en la tienda ?,"Depende del cliente y del rol.
Si eres usuario nuevo y aún no cuentas con esos accesos, el coordinador en tienda te los entregará durante tu capacitació.
Si ya estás activo y no los tienes, consúltalo directamente con el coordinador en sala para que te apoye.",aplicaciones externas usuario contraseña dan tienda
Entonces si tienes lugar en Walmart?,"*Sí, puede haber disponibilidad en Walmart*, depende de tu zona y de los cupos del día.

Para verlo:
*Regístrate en la app de Zubale.*
Al completar tus datos, la app te mostrará las salas disponibles (incluido Walmart si hay cupos).
Si quieres revisar más opciones, usa *“Elegir otra opción”* para ver otras salas.",entonces tienes lugar walmart
"En caso de algun siniestro, se cuenta con algun tipo de seguro en Zubale?","Como colaborador independiente, cada usuario es responsable del cuidado y los posibles daños de su propio vehículo. Zubale no cuenta con un seguro vehicular, por lo que te recomendamos operar siempre con precaución y tener tu documentación al día.",caso algun siniestro cuenta algun tipo seguro zubale
Es con vehiculo?,"Depende del rol: Shopper y Driver requieren vehículo; Picker no. Si me dices qué rol te interesa, te guío con lo correcto para tu caso.",vehiculo
Es solo de recoger la mercancía y entregarla?,"Depende del rol: Picker arma pedidos en el supermercado; Driver entrega pedidos ya listos; Shopper arma y entrega el pedido.
¿Te gustaría más información sobre alguna de estas vacantes en particular?",recoger mercancía entregarla
Estoy interesada  Cuando empezaría? Que tienda?  Con quién me comunico?,"Puedes comenzar una vez que completes tu registro en la app de Zubale. Durante el registro, la app te mostrará las tiendas disponibles según tu ubicación y podrás elegir dónde activarte.

Al finalizar el registro, entra al apartado Reservas para agendar tu capacitación presencial (si es tu primera vez, agenda solo 1 espacio).
La noche anterior a tu capacitación recibirás el contacto del coordinador de Zubale en tienda, quien te apoyará al llegar.",estoy interesada empezaría tienda quién comunico
"Finalmente, en promedio, cuántas  entregas se hacen al día en 6 horas de trabajo?","Depende de la demanda, la tienda, el tipo de pedidos y tu ritmo. No hay un número fijo garantizado.",finalmente promedio cuántas entregas hacen horas trabajo
He buscado un Android pero solo tengo iPhone que puedo hacer?,"Puedes registrarte desde iPhone, pero para operar en tienda y realizar tareas necesitarás un Android, porque algunas apps complementarias del cliente no funcionan en iOS.",buscado android iphone
Hola disculpa solo me puedo capacitar el día que me indicas?,"No necesariamente. Tú puedes agendar tu capacitación directamente desde la app, en el apartado Reservas, eligiendo el día y la franja de tiempo que mejor te acomode según disponibilidad.

👉 Importante: para tu capacitación presencial debes agendar solo 1 espacio.
Una vez que completes la capacitación, podrás volver a Reservas y agendar más espacios para realizar tareas y generar ganancias.",capacitar indicas
"Hola si, cuento con auto, pero tengo duda, el trabajo consiste en ha er pedidos en el supermercado?","Sí 😊 depende del rol que elijas en Zubale:

Shopper: realizas el pedido completo en el supermercado (armas los productos en tienda) y luego lo entregas al cliente con tu auto.
Driver: retiras el pedido ya armado en el supermercado y lo entregas al cliente.

👉 La app de Zubale se usa para tu registro, reservas y activación.
Una vez en tienda, la asignación de tareas la realiza el coordinador de Zubale en sala, según el rol y la operación del día.",cuento auto trabajo consiste pedidos supermercado
Hola una pregunta se pondrán en contacto conmigo hoy por alguna cuestión o sería hasta mañana una vez que esté en la sucursal?,"La noche anterior a tu reserva suele llegarte un recordatorio con el contacto del coordinador. Si necesitas ayuda antes, pídeme que te transfiera con un agente y te apoyamos.",pondrán contacto conmigo hoy cuestión hasta mañana vez
Ya me habían comentado de zubale que es para generar ingresos extras correcto?,"Sí 😊 Muchas personas usan Zubale para generar ingresos extra de forma flexible.

Tú decides qué días y qué franjas de tiempo reservar según disponibilidad en la app. Además, tus ganancias dependen de las tareas que completes y contamos con bonos que pueden ayudarte a potenciar lo que generas.",habían comentado zubale generar ingresos extras correcto
Tengo una pregunta el trabajo de shopper es presencial?,"Sí 😊 todas las vacantes en Zubale son presenciales.
Como Shopper, te presentas en el supermercado donde agendaste tu espacio, armas los pedidos de compras en línea y luego los entregas directamente en el domicilio del cliente.",trabajo shopper presencial
"Tengo una pregunta, si quiero ser repartidora, puedo traer conmigo a mi niña ?","Por seguridad, no se permiten acompañantes durante la prestación del servicio y las entregas.",repartidora traer conmigo niña
"Tome este turno. Esto quiere decir que durante ese horario puedo recibir entregas? Es decir , aun no tengo pedidos por entregar asegurados?","Reservar una franja te da la oportunidad de tomar tareas, pero la cantidad depende de la demanda del momento.
Al llegar a tienda, haz check-in en la app y dirígete a la mesa de coordinadores de Zubale para que te asignen tareas y te indiquen los siguientes pasos.",tome turno quiere decir durante horario recibir entregas
"Una duda, se podría decir que estar como shopper se gana más que solo como driver o termina siendo lo mismo?","¡Correcto! Los Shoppers con auto tienen el beneficio de poder ganar más, ya que además de las entregas también realizan el surtido de pedidos, lo que incrementa sus ingresos por tarea. Esto les brinda una ventaja adicional y una mayor flexibilidad para maximizar sus ganancias.",decir shopper gana driver termina siendo mismo
Una vez que entregas es responsabilidad del cliente hacer reclamaciones o aclaraciones?,"Si el cliente tiene un reclamo, se gestiona por los canales del cliente/soporte. Tu foco es entregar el pedido completo y en buen estado según lo indicado en la app.",vez entregas responsabilidad cliente reclamaciones aclaraciones
Uno tiene que armar el pedido o ya están echos?,"Depende del rol con el que te actives en Zubale:

Shopper: arma el pedido en el supermercado (selecciona y prepara los productos) y lo entrega al cliente.
Picker: arma el pedido en el supermercado y lo deja listo para despacho; no realiza la entrega.
Driver: no arma el pedido; retira el pedido ya preparado en el supermercado y lo entrega al cliente.",armar pedido están echos
"Vi el anuncio en redes sociales pero no.explica de que se trata, que Empresa es Zubale?","Zubale es una plataforma que te permite generar ingresos realizando tareas en supermercados y tiendas de retail.
A través de la app puedes activarte en distintos roles, según tu perfil:

Picker: armas pedidos en el supermercado.
Shopper: armas pedidos y los entregas al cliente.
Driver: entregas pedidos ya preparados.

Todo el proceso se hace desde la app: te registras, agendas tu capacitación presencial y luego reservas franjas de tiempo para realizar tareas según disponibilidad.
Tú eliges cuándo y dónde activarte, y generas ingresos por cada tarea que realizas 🚀",anuncio redes sociales explica trata empresa zubale
Voy a cancelar y reservar se puede ??,"Sí, puedes cancelar tu reserva desde la app y crear una nueva, siempre que haya disponibilidad en la sala.
Te pedimos cancelar con al menos 24 horas de anticipación para liberar el espacio y que otra persona pueda tomarlo.
Además, te recomendamos reservar una franja que puedas cumplir completa para aprovechar mejor tu espacio y generar más ingresos.",voy cancelar reservar
Una pregunta pero si es lo mismo o en algo cambia yo traia carro solo me pase a moto  hay volve a tomar la capacitacion ??y donde queda mi tienda??,"No necesitas volver a capacitarte 👍
Si ya completaste tu capacitación presencial, puedes reservar espacios en cualquier tienda disponible dentro del mismo cliente desde la app.

Como cambiaste de auto a moto, solo hay que actualizar tu vehículo en el sistema. Pídeme que te transfiera con un agente y te ayudan con eso.
Una vez listo, podrás reservar y tomar tareas sin problema.",mismo cambia traia carro pase moto volve tomar
Tendría q llevar el auto ese día?,"Si te registraste como Shopper o Driver, es importante que lleves tu vehículo.
Durante la capacitación puede ser requerido para el proceso y, además, te permitirá comenzar a realizar tareas al finalizar si hay disponibilidad.",tendría llevar auto
Yo tengo que preparar cada pedido?,"Depende del rol que elijas:
Shopper: arma el pedido en el supermercado y luego lo entrega.
Picker: arma los pedidos en el supermercado, pero no realiza entregas.
Driver: solo retira los pedidos ya preparados y los entrega al cliente.",preparar pedido
Yo pongo el auto ? Gasolina?,Sí. El vehículo y los gastos asociados (como combustible) corren por cuenta del colaborador independiente.,pongo auto gasolina
iPhone es útil ?,"Puedes registrarte desde iPhone, pero para operar y realizar tareas necesitas un Android, ya que las apps de los clientes solo funcionan en ese sistema.",iphone útil
Kiero saber si dando mi carro de alta en su plataforma queda registrado como carro de aplicación??,"No te preocupes, tu auto no queda registrado como un vehículo de aplicación. Solo lo registramos en nuestra plataforma para que puedas realizar las tareas de Zubale de manera fácil y efectiva. Esto garantiza que puedas activarte sin complicaciones y te permite disfrutar de la flexibilidad que ofrecemos.",kiero dando carro alta plataforma queda registrado carro
Algunos de los documentos del vehiculo no están vigente...eso me impediría activarte?,"Sí. Para activarte, los documentos del vehículo deben estar vigentes. De lo contrario, el sistema puede bloquear el proceso. Asegúrate de tenerlos al día para comenzar a disfrutar de todas las oportunidades que ofrecemos.",algunos documentos vehiculo están vigente impediría activarte
Los pedidos son del mismo día o ya están reservados desde un día antes?,"Los pedidos se asignan el mismo día, según la demanda durante la franja que reservaste.",pedidos mismo están reservados
O me podrían apoyar ustedes realizando mis reservas?,"Las reservas deben hacerse desde tu propia cuenta en la app de Zubale 😊
Si tienes dudas sobre cómo reservar o qué espacio elegir, pregúntame y con gusto te explico cómo hacerlo paso a paso.",podrían apoyar ustedes realizando mis reservas
Se puede activarte solo fines de semana ??,"Sí. Tú eliges los días en los que deseas activarte, incluidos fines de semana, según disponibilidad en la app.",activarte fines semana
Se tiene que hacer cita o se puede llegar a cualquier horario?,Es necesario reservar previamente en la app. No se puede llegar sin cita.,cita llegar cualquier horario
"Si claro, como es la forma de pago y horarios ? Ellos me dicen?","Tú eliges los días y franjas en la app. Los pagos son semanales y varían según el rol, tienda y tareas realizadas.",claro forma pago horarios ellos dicen
"Me puedes dar más información para hacer repartidor de zubale, cuánto pagan y que horario y días se puede activarte?","Como Driver realizas entregas de pedidos de supermercado ya armados. Las ganancias son variables según tareas realizadas. Tú eliges días y franjas en la app, y el pago es semanal.",puedes dar información repartidor zubale cuánto pagan horario
Shopper realiza actividades de hacer el súper pagar/cobrar y traslado del mismo al cliente verdad?,"Shopper arma el pedido y lo entrega. No paga ni cobra, ya que los pedidos están previamente pagados.",shopper realiza actividades súper pagar cobrar traslado mismo
Si debe ser Android?,Sí. Para prestar servicio en tienda necesitas un teléfono Android.,debe android
"Si eso me aparece en la aplicación (que no hay vacantes disponibles), entonces ustedes me avisarían al abrir una vacante?","No enviamos avisos automáticos cuando se abren vacantes.
Te recomendamos revisar la app periódicamente, ya que los cupos se actualizan según la demanda.

Además, asegúrate de tener la ubicación activada y los permisos habilitados para la app, ya que sin eso pueden no aparecer tiendas o vacantes disponibles.",aparece aplicación vacantes disponibles entonces ustedes avisarían abrir
Solo es transporte de mercancía?,"Depende del perfil 😊 No siempre es solo transporte.

Driver: solo retira el pedido ya listo y lo entrega.
Picker: arma el pedido en el supermercado (no hace entregas).
Shopper: arma el pedido y también lo entrega.

En la app puedes registrarte y elegir el rol que mejor se adapte a ti.",transporte mercancía
Solo tienes disponible para shopper?,"No. En Zubale hay vacantes para Shopper, Picker y Driver 😊
Las opciones disponibles dependen de tu zona y la demanda del momento.

Al registrarte en la app de Zubale, podrás ver qué vacantes y tiendas están disponibles cerca de ti y elegir la que mejor se adapte a tu perfil.",tienes disponible shopper
Te entregan la mercancía ya hecha en tu vehículo o tienes tu que estar checando la mercancía?,"Depende del rol:

Shopper: tú armas el pedido dentro del supermercado (la app te guía paso a paso) y luego realizas la entrega al cliente.
Driver: el pedido ya está armado en sala; tú verificas que esté completo y realizas la entrega al domicilio.",entregan mercancía hecha vehículo tienes checando mercancía
Tendrás vacantes para solo entregar?,"Sí 😊
Existe la vacante de Driver/Repartidor, que es solo para entregar pedidos ya preparados.
Podrás seleccionar este rol durante tu registro en la app de Zubale, según la disponibilidad en tu zona.",tendrás vacantes entregar
Que procede ? Porque a mí me habían dicho que me corresponde una tienda y si están llenos porque la aplicación me deja reservar ?,"Si la app te deja reservar, es porque sí hay cupos disponibles en esa tienda 😊

Durante el registro puede aparecerte una tienda “recomendada” según tu zona y la demanda, pero si ya pudiste reservar, ¡todo está correcto! Solo preséntate el día y en la franja que elegiste, haz check-in al llegar y aprovecha tu espacio para generar ganancias.",procede porque habían dicho corresponde tienda están llenos
Qué radio al rededor de la tienda manejan ??,El radio de cobertura es de hasta 10 km alrededor de la tienda.,radio rededor tienda manejan
Que tiendas están disponibles?,"Las tiendas disponibles dependen de tu ubicación.
Durante el proceso de registro en la app de Zubale, la aplicación te mostrará las tiendas disponibles según la zona donde te encuentres. Asegúrate de tener la ubicación activada y permitir el acceso a la app para que pueda mostrarte correctamente las opciones disponibles.",tiendas están disponibles
Que tiendas son disculpe?,"Las tiendas disponibles dependen de tu ubicación.
Durante el proceso de registro en la app de Zubale, la aplicación te mostrará las tiendas disponibles según la zona donde te encuentres. Asegúrate de tener la ubicación activada y permitir el acceso a la app para que pueda mostrarte correctamente las opciones disponibles.",tiendas
Que tiendas tienes disponibles?,"Las tiendas disponibles dependen de tu ubicación.
Durante el proceso de registro en la app de Zubale, la aplicación te mostrará las tiendas disponibles según la zona donde te encuentres. Asegúrate de tener la ubicación activada y permitir el acceso a la app para que pueda mostrarte correctamente las opciones disponibles.",tiendas tienes disponibles
Qué zona y/o tiendas están disponibles?,"Las tiendas disponibles dependen de tu ubicación.
Durante el proceso de registro en la app de Zubale, la aplicación te mostrará las tiendas disponibles según la zona donde te encuentres. Asegúrate de tener la ubicación activada y permitir el acceso a la app para que pueda mostrarte correctamente las opciones disponibles.",zona tiendas están disponibles
Quisiera saber en que ciudades se ubican?,"Zubale está presente en varias ciudades de Chile.
Durante el proceso de registro en la app, podrás verificar si operamos en tu ciudad y ver las tiendas disponibles según tu ubicación. Asegúrate de tener la ubicación activada y permitir el acceso a la app para que se muestren correctamente las opciones en tu zona.",quisiera ciudades ubican
Requisitos para ser picker?,"Para activarte como Picker en Zubale necesitas:

Ser mayor de 18 años.
Tener tu documento de identidad vigente.
Contar con un celular Android (para operar).
Completar tu registro en la app y agendar tu capacitación presencial en Reservas.

Luego de tu capacitación, podrás reservar más espacios y empezar a realizar tareas.",requisitos picker
Se podría registrar mi hija y yo ser el conductor?,No. La persona registrada debe ser quien realiza las tareas. No se permite operar en dupla.,registrar hija conductor
Se puede con moto ??,"Sí, se puede con moto.
Durante el proceso de registro en la app, indica que cuentas con moto y la aplicación te mostrará las vacantes u oportunidades disponibles para ese tipo de vehículo, según tu zona y la disponibilidad del proyecto.",moto
Se puede con motocicleta?,"Sí, se puede con moto.
Durante el proceso de registro en la app, indica que cuentas con moto y la aplicación te mostrará las vacantes u oportunidades disponibles para ese tipo de vehículo, según tu zona y la disponibilidad del proyecto.",motocicleta
Se pueden más horas para ganar más?,"Sí. Mientras más franjas reserves y cumplas, más oportunidades tendrás de generar ganancias.",pueden horas ganar
Se recogen en tienda los pedidos?,"Sí.
Los pedidos se recogen en la tienda donde reservaste tu espacio. Desde ahí realizas la tarea correspondiente según tu rol, ya sea armar el pedido o realizar la entrega o ambos.",recogen tienda pedidos
Se recogen los pedidos o yo tengo que surtirlos?,"Depende del rol que elijas:
Shopper: arma el pedido en el supermercado y luego lo entrega.
Picker: arma los pedidos en el supermercado, pero no realiza entregas.
Driver: solo retira los pedidos ya preparados y los entrega al cliente.",recogen pedidos surtirlos
En qué tienda sería la capacitación?,"La capacitación presencial se realiza en la tienda que seleccionaste durante tu proceso de registro en la app.
Ahí mismo reservarás tu espacio de capacitación y recibirás los detalles antes de asistir.",tienda capacitación
Shopper .!  A qué se refiere .?,Un Shopper arma pedidos de supermercado dentro de la tienda y luego los entrega en el domicilio del cliente usando su vehículo.,shopper refiere
"Tengo duda, está aplicación es para preparar los pedidos ?","Durante el proceso de registro en la app de Zubale, podrás elegir el perfil que mejor se adapte a ti. Según el perfil seleccionado, las tareas son:

Shopper: arma el pedido en el supermercado y luego lo entrega.
Picker: arma los pedidos en el supermercado, sin realizar entregas.
Driver: retira pedidos ya preparados y los entrega al cliente.",está aplicación preparar pedidos
"Tengo moto y la mochila grande de uber,hay algún problema?","Puedes usarla, solo asegúrate de cubrir o retirar logos de otras apps.",moto mochila grande uber problema
Me puede decir cuál es la función de un shopper y como me registro?,"Shopper arma y entrega pedidos de supermercado. Para registrarte, descarga la app de Zubale y completa el registro.",decir función shopper registro
Me puedes explicar el de shooper?,"Shopper arma y entrega pedidos de supermercado. Para registrarte, descarga la app de Zubale y completa el registro.",puedes explicar shooper
Me tengo q acercar a una tienda para poder reservar?,"No es necesario acercarte a una tienda para reservar.
Las reservas se hacen directamente desde la app de Zubale, según tu ubicación.

Si es tu primera reserva, recuerda agendar solo 1 espacio, ya que corresponde a tu capacitación presencial, la cual se realizará en la tienda/sala que seleccionaste durante tu proceso de registro en la app.

Una vez que completes la capacitación, podrás volver a Reservas y agendar más espacios en otras salas del mismo proyecto, según disponibilidad.",acercar tienda poder reservar
Mencionan que puede ser como un ingreso extra ?,"Sí. Zubale te permite generar ingresos extra, eligiendo cuándo, donde y cuánto activarte.",mencionan ingreso extra
cuantos Paquetes diarios garantizan?,No hay una cantidad garantizada. Las tareas dependen de la demanda y tu disponibilidad.,cuantos paquetes diarios garantizan
Oiga no hay solo de repartidor? Solo tiene shopper con auto ?,"¡Sí 😊!
En Zubale también hay vacantes solo de Repartidor (Driver), además de Shopper y Picker.

Durante el proceso de registro en la app, podrás elegir el perfil que mejor se adapte a ti y la aplicación te mostrará las vacantes disponibles según tu zona y tipo de vehículo.",oiga repartidor shopper auto
"Para armar los pedidos, se pueden registrar 2 personas?",No. Cada persona debe registrarse de forma individual y realizar sus propias tareas. No se permite activarse en dupla.,armar pedidos pueden registrar personas
Para la capacitación presencial me contactan después? O yo tengo que ir?,"Debes agendar tu capacitación presencial tú mismo desde la app de Zubale, en el apartado Reservas.
Una vez que hagas la reserva, solo debes presentarte el día y la franja que elegiste, en la tienda seleccionada durante tu registro.

La noche anterior recibirás un mensaje de recordatorio con el contacto del coordinador, por si necesitas apoyo al llegar.",capacitación presencial contactan
Pero me dice que debo dejar mi ubicación todo el tiempo?,"Sí.
Es importante mantener la ubicación activa para que la app pueda mostrarte las tiendas disponibles, permitirte reservar espacios y, cuando estés en tienda, asignarte tareas.",dice dejar ubicación tiempo
Pero yo me postule para picker y para eso Cuál sería mi labor a des mo para?,"Como Picker, tu funcion es armar pedidos dentro del supermercado y llevarlos a la zona indicada dentro de la tienda. No realizas entregas a domicilio.",postule picker labor des
Pero yo tengo que tener el auto verdad  Y las otras dos posiciones?,"El vehículo es obligatorio para Shopper y Driver. Para Picker no se requiere auto, ya que solo arma pedidos dentro de la tienda.",tener auto otras dos posiciones
Es solo para hacer pedidos verdad ? Por qué no tengo carro,"Sí. Si no tienes auto, puedes activarte como Picker, que solo arma pedidos en tienda.",pedidos carro
Oye y para picker que se necesita ?,"Para activarte como Picker en Zubale necesitas:

Ser mayor de 18 años.
Tener tu documento de identidad vigente.
Contar con un celular Android (para operar).
Completar tu registro en la app y agendar tu capacitación presencial en Reservas.

Luego de tu capacitación, podrás reservar más espacios y empezar a realizar tareas.",picker necesita
¿Qué es el Nivel de zubalero y cómo funciona?,"Es un sistema de niveles basado en indicadores de desempeño. Según tu nivel, puedes acceder a beneficios adicionales.",nivel zubalero funciona
¿Con qué frecuencia se actualiza mi Ranking?,"Tu Ranking se actualiza en dos momentos:
- Ranking semanal: se actualiza cada semana y es el que define con cuánta anticipación puedes agendar tus espacios. Lo puedes ver en la app.
- Ranking mensual: se actualiza una vez al mes y es el que define cuántos retiros gratis tienes según tu nivel. Lo puedes ver a través del correco electrónico que se envía de forma mensual.",frecuencia actualiza ranking
Estoy interesado en Zubale,"¡Genial! 😊
Para comenzar, descarga la app de Zubale y completa tu registro. Durante el proceso podrás elegir el perfil que más se adapte a ti, ver las tiendas disponibles según tu ubicación y agendar tu capacitación presencial desde la app.

Es un proceso sencillo y la aplicación te irá guiando paso a paso.",estoy interesado zubale
Tengo carro propio pero los documentos no estan a mi nombre,No hay problema. Los documentos del vehículo no necesitan estar a tu nombre para activarte.,carro propio documentos estan nombre
Voy a iniciar mi registro pero mi auto o licencia es de otro estado habrá algún problema?,No hay inconveniente. Puedes registrarte aunque tu licencia o placas sean de otro estado.,voy iniciar registro auto licencia estado habrá problema
Requisitos para activarse como shopper en Zubale,"Para activarte como Shopper en Zubale necesitas:

Ser mayor de 18 años.
Contar con documento de identidad vigente.
Tener vehículo propio (auto o moto, según disponibilidad del proyecto).
Licencia de conducir, SOAP y permiso de circulación vigentes.
Contar con un celular Android compatible con la app.
Completar tu registro en la app de Zubale y asistir a la capacitación presencial (se agenda desde Reservas, solo 1 espacio la primera vez).",requisitos activarse shopper zubale
¿Qué pasa si no entrego un pedido a tiempo?,"Se recomienda mantener un buen desempeño en tiempos de entrega. Si ocurre un imprevisto, comunícate con el cliente y explica la situación.",pasa entrego pedido tiempo
"Si no tengo cooler, ¿Que hago?","Necesitas contar con un cooler. Si no tienes uno, puedes adquirir el de Zubale y el costo se descuenta de tu wallet.",cooler
